Co,Al,W,Ta,Ti,Nb,Ni,Cr,V,Mo,Toxidation,toxidation,Mass gain
34,10,0,4,0,0,40,12,0,0,1000,0,0
34,10,0,4,0,0,40,12,0,0,1000,25,0.385416667
34,10,0,4,0,0,40,12,0,0,1000,50,0.510416667
33,10,0,4,0,0,40,12,1,0,1000,0,0
33,10,0,4,0,0,40,12,1,0,1000,25,1.151041667
33,10,0,4,0,0,40,12,1,0,1000,50,1.854166667
31,10,0,4,0,0,40,12,3,0,1000,0,0
31,10,0,4,0,0,40,12,3,0,1000,25,2.885416667
31,10,0,4,0,0,40,12,3,0,1000,50,4.916666667
29,10,0,4,0,0,40,12,5,0,1000,0,0
29,10,0,4,0,0,40,12,5,0,1000,25,3.369791667
29,10,0,4,0,0,40,12,5,0,1000,50,5.385416667
50,10,5,1,4,0,30,0,0,0,800,1,1.402590932
50,10,5,1,4,0,30,0,0,0,800,25,3.420528151
50,10,5,1,4,0,30,0,0,0,800,50,4.018435476
50,10,5,1,4,0,30,0,0,0,800,75,4.441953164
50,10,5,1,4,0,30,0,0,0,800,100,4.740906826
50,10,4,2,4,0,30,0,0,0,800,1,1.514698555
50,10,4,2,4,0,30,0,0,0,800,10,2.859990035
50,10,4,2,4,0,30,0,0,0,800,25,3.744394619
50,10,4,2,4,0,30,0,0,0,800,50,4.653712008
50,10,4,2,4,0,30,0,0,0,800,75,5.28898854
50,10,4,2,4,0,30,0,0,0,800,100,5.799701046
50,10,5,1,4,0,30,0,0,0,900,1,1.664175386
50,10,5,1,4,0,30,0,0,0,900,10,2.635774788
50,10,5,1,4,0,30,0,0,0,900,50,4.304932735
50,10,5,1,4,0,30,0,0,0,900,75,4.840558047
50,10,5,1,4,0,30,0,0,0,900,100,5.28898854
50,10,4,2,4,0,30,0,0,0,900,1,1.801195815
50,10,4,2,4,0,30,0,0,0,900,10,3.084205282
50,10,4,2,4,0,30,0,0,0,900,25,4.093173891
50,10,4,2,4,0,30,0,0,0,900,50,5.313901345
50,10,4,2,4,0,30,0,0,0,900,75,6.260587942
50,10,4,2,4,0,30,0,0,0,900,100,7.0204285
51,10,0,4,0,0,30,0,5,0,1000,0,0
51,10,0,4,0,0,30,0,5,0,1000,50,16.14379085
51,10,0,4,0,0,30,0,5,0,1000,100,22.76143791
51,10,0,4,0,0,30,0,5,0,1000,200,29.95098039
47,10,0,4,0,0,30,4,5,0,1000,0,0
47,10,0,4,0,0,30,4,5,0,1000,50,6.094771242
47,10,0,4,0,0,30,4,5,0,1000,100,11.07843137
47,10,0,4,0,0,30,4,5,0,1000,200,14.91830065
43,10,0,4,0,0,30,8,5,0,1000,0,0
43,10,0,4,0,0,30,8,5,0,1000,50,4.869281046
43,10,0,4,0,0,30,8,5,0,1000,100,7.892156863
43,10,0,4,0,0,30,8,5,0,1000,200,9.035947712
39,10,0,4,0,0,30,12,5,0,1000,0,0
39,10,0,4,0,0,30,12,5,0,1000,50,3.480392157
39,10,0,4,0,0,30,12,5,0,1000,100,5.604575163
39,10,0,4,0,0,30,12,5,0,1000,200,6.666666667
40,10,2,4,1,1,35,5,0,2,800,0,0
40,10,2,4,1,1,35,5,0,2,800,10,0.170212766
40,10,2,4,1,1,35,5,0,2,800,30,0.221276596
40,10,2,4,1,1,35,5,0,2,800,50,0.278014184
40,10,2,4,1,1,35,5,0,2,800,100,0.309219858
40,10,2,4,1,1,35,5,0,2,800,200,0.476595745
40,10,2,4,1,1,35,5,0,2,900,0,0
40,10,2,4,1,1,35,5,0,2,900,10,0.471428571
40,10,2,4,1,1,35,5,0,2,900,30,0.808571429
40,10,2,4,1,1,35,5,0,2,900,50,1.094285714
40,10,2,4,1,1,35,5,0,2,900,100,1.397142857
40,10,2,4,1,1,35,5,0,2,900,200,1.837142857
40,10,2,4,1,1,35,5,0,2,1000,0,0
40,10,2,4,1,1,35,5,0,2,1000,10,0.721518987
40,10,2,4,1,1,35,5,0,2,1000,30,1.253164557
40,10,2,4,1,1,35,5,0,2,1000,50,1.447257384
