Co,Al,Ta,Ti,Ni,Cr,V,Mo,Tage,tage,Ttest,Vol,YS
47.2,2.6,0,12.9,27.6,8.7,0,0.8,760,16,25,67.83684,643.9
47.2,2.6,0,12.9,27.6,8.7,0,0.8,760,16,650,67.83684,646
47.2,2.6,0,12.9,27.6,8.7,0,0.8,760,16,750,67.83684,748.7
47.2,2.6,0,12.9,27.6,8.7,0,0.8,760,16,850,67.83684,641.6
47.2,2.6,0,12.9,27.6,8.7,0,0.8,760,16,1050,67.83684,367.3
47.2,2.6,0,12.9,27.6,8.7,0,0.8,760,16,1100,67.83684,217.8
81.8,9.2,0,0,0,0,0,0,800,24,870,47.382328,473
79.4,8.8,2,0,0,0,0,0,800,24,870,85.6373,674
78,10,0,0,0,0,0,0,900,168,25,78.30571,415
78,10,0,0,0,0,0,0,900,168,590,78.30571,313
78,10,0,0,0,0,0,0,900,168,800,78.30571,391
78,10,0,0,0,0,0,0,900,168,900,78.30571,387
82,9,0,0,0,0,0,0,900,150,25,53.129993,521.5
82,9,0,0,0,0,0,0,900,150,500,53.129993,437.7
82,9,0,0,0,0,0,0,900,150,600,53.129993,419.6
82,9,0,0,0,0,0,0,900,150,650,53.129993,419.6
82,9,0,0,0,0,0,0,900,150,700,53.129993,462.6
82,9,0,0,0,0,0,0,900,150,750,53.129993,367.6
82,9,0,0,0,0,0,0,900,150,800,53.129993,349
79,9,2,0,0,0,0,0,1000,100,25,84.342186,632.5
79,9,2,0,0,0,0,0,1000,100,600,84.342186,458.1
79,9,2,0,0,0,0,0,1000,100,700,84.342186,501.1
79,9,2,0,0,0,0,0,1000,100,800,84.342186,578
79,9,2,0,0,0,0,0,1000,100,900,84.342186,562
81.8,9.2,0,0,0,0,0,0,900,150,25,34.875145,520
81.8,9.2,0,0,0,0,0,0,900,150,500,34.875145,450
81.8,9.2,0,0,0,0,0,0,900,150,600,34.875145,420
81.8,9.2,0,0,0,0,0,0,900,150,650,34.875145,425
81.8,9.2,0,0,0,0,0,0,900,150,700,34.875145,470
81.8,9.2,0,0,0,0,0,0,900,150,750,34.875145,375
81.8,9.2,0,0,0,0,0,0,900,150,800,34.875145,350
79.9,9.4,0,0,0,0,0,0,900,150,25,65.07214,550
79.9,9.4,0,0,0,0,0,0,900,150,600,65.07214,420
79.9,9.4,0,0,0,0,0,0,900,150,700,65.07214,450
79.9,9.4,0,0,0,0,0,0,900,150,800,65.07214,320
79.4,8.8,2,0,0,0,0,0,1000,100,25,84.02581,620
79.4,8.8,2,0,0,0,0,0,1000,100,600,84.02581,460
79.4,8.8,2,0,0,0,0,0,1000,100,700,84.02581,500
79.4,8.8,2,0,0,0,0,0,1000,100,800,84.02581,580
79.4,8.8,2,0,0,0,0,0,1000,100,900,84.02581,570
79.4,8.8,2,0,0,0,0,0,1000,100,937,84.02581,430
77.9,7.8,2,0,0,4.5,0,0,900,150,25,59.268955,680
77.9,7.8,2,0,0,4.5,0,0,900,150,600,59.268955,470
77.9,7.8,2,0,0,4.5,0,0,900,150,700,59.268955,500
77.9,7.8,2,0,0,4.5,0,0,900,150,800,59.268955,580
77.9,7.8,2,0,0,4.5,0,0,900,150,900,59.268955,400
84.2,8.9,0,0,0,0,0,0,900,48,25,34.048103,454
84.2,8.9,0,0,0,0,0,0,900,48,650,34.048103,334.5
84.2,8.9,0,0,0,0,0,0,900,48,760,34.048103,373
84.2,8.9,0,0,0,0,0,0,900,48,870,34.048103,285
84.2,8.9,0,0,0,0,0,0,900,48,980,34.048103,97.5
82.8,9,0,0,0,0,0,0,900,48,25,43.589245,667.6
82.8,9,0,0,0,0,0,0,900,48,650,43.589245,407
82.8,9,0,0,0,0,0,0,900,48,760,43.589245,432.7
82.8,9,0,0,0,0,0,0,900,48,870,43.589245,334.5
82.8,9,0,0,0,0,0,0,900,48,980,43.589245,133.8
81.3,9.2,0,0,0,0,0,0,900,48,25,41.61691,738
81.3,9.2,0,0,0,0,0,0,900,48,650,41.61691,486
